表内序号,五要素,表名,中文表名,字段名称,字段描述,字段类型,长度,内部标识符,中文名称,标识符,数据类型,表示格式
11,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,SGFSSJ,事故发生时间,DATE,,DE00554,事故发生日期时间,SGFSRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
12,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,LH,路号,VARCHAR2,7,,,,,
13,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,LM,路名,VARCHAR2,64,,,,,
14,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,SGDD,事故地点,VARCHAR2,128,DE00075,事故地址名称,SGDZMC,字符型（string）,c..100
15,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,SSRS,受伤人数,NUMBER,3,,,,,
16,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,ZJCCSS,直接财产损失,NUMBER,9,,,,,
17,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,LWSGLX,路外事故类型,VARCHAR2,1,,,,,
18,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,RDYYFL,事故认定原因分类,VARCHAR2,2,,,,,
19,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,SGRDYY,事故认定原因,VARCHAR2,4,,,,,
20,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,TQ,天气,VARCHAR2,1,,,,,
21,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,XC,现场,VARCHAR2,1,,,,,
22,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,SWSG,涉外事故1是2否,VARCHAR2,1,,,,,
23,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,SGXT,事故形态 ,VARCHAR2,2,,,,,
24,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,CLJSG,车辆间事故,VARCHAR2,1,,,,,
25,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,DCSG,单车事故,VARCHAR2,2,,,,,
26,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,PZFS,碰撞方式 1-单车 2-双车 3-多车 4-车人事故,VARCHAR2,1,,,,,
27,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,LBQK,路表情况,VARCHAR2,2,,,,,
28,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,TJR1,调解人1,VARCHAR2,30,DE00002,调解人姓名,TJRXM,字符型（string）,c..50
29,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,CCLRSJ,初次录入时间,DATE,,DE00554,初次录入日期时间,CCLRRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
30,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,JLLX, 1-快报记录 2-快报/全项记录 3全项记录,VARCHAR2,1,,,,,
31,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,SB,上报 ,VARCHAR2,1,,,,,
32,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,TJSGBH,统计事故编号,VARCHAR2,64,,,,,
33,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,GLBM,管理部门,VARCHAR2,12,,,,,
34,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,SGSS,事故事实,VARCHAR2,"2,000",,,,,
35,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,ZRTJJG,责任调解结果,VARCHAR2,"2,000",,,,,
36,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,JAR1,接案人1,VARCHAR2,30,DE00002,接案人姓名,JARXM,字符型（string）,c..50
37,案(事)件要素,JJ_JYSGXXZB,交警_简易事故信息主表,JAR2,接案人2,VARCHAR2,30,DE00002,接案人2姓名,JARXM2,字符型（string）,c..50
12,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,BAFS,报案方式,VARCHAR2,2,,,,,
13,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,ZASJ,报案时间,VARCHAR2,14,DE00102,报案时间,BASJ,日期时间型（datetime）,t6（hhmmss）
14,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,FASJSX,发案时间上限,VARCHAR2,14,DE00102,发案时间上限,FASJSX,日期时间型（datetime）,t6（hhmmss）
15,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,FASJXX,发案时间下限,VARCHAR2,14,DE00102,发案时间下限,FASJXX,日期时间型（datetime）,t6（hhmmss）
16,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,FADXZQH,发案地行政区划,VARCHAR2,6,DE00070,发案地行政区划代码,FADXZQHDM,字符型（string）,c6
17,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,FADJD,发案地街道,VARCHAR2,12,DE00071,发案地乡镇（街道）代码,FADXZJDDM,字符型（string）,c3
18,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,FADXZ,发案地详址,VARCHAR2,600,DE00075,发案地地址名称,FADDZMC,字符型（string）,c..100
19,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,SSJQ,所属警区,VARCHAR2,12,,,,,
20,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,SSSQ,所属社区,VARCHAR2,12,,,,,
21,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,FXXS,发现形式,VARCHAR2,2,,,,,
22,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,WHCD,危害程度,VARCHAR2,2,DE00095,危害程度代码,WHCDDM,字符型（string）,c1
25,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,AJFX,案件分析,VARCHAR2,"4,000",,,,,
26,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,XZSJ,选择时机,VARCHAR2,54,DE00042,选择时机代码,XZSJDM,字符型（string）,c2
27,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,XZCS,选择处所,VARCHAR2,100,DE00043,选择处所代码,XZCSDM,字符型（string）,c4
29,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,XZWP,选择物品,VARCHAR2,"4,000",,,,,
30,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,ZAGJ,作案工具,VARCHAR2,200,DE00040,作案工具代码,ZAGJDM,字符型（string）,c5
31,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,ZATD,作案特点,VARCHAR2,600,DE00041,作案特点代码,ZATDDM,字符型（string）,c3
32,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,ZASD,作案手段,VARCHAR2,600,,,,,
34,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,SWRS,死亡人数,NUMBER,22,DE00829,死亡人数,SWRS,数值型（numeric）,n..10
36,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,SSJZ,损失价值,NUMBER,,,,,,
37,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,SASJ,受案时间,VARCHAR2,14,DE00102,受案时间,SASJ,日期时间型（datetime）,t6（hhmmss）
39,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,LASJ,立案时间,VARCHAR2,14,DE00102,立案时间,LASJ,日期时间型（datetime）,t6（hhmmss）
41,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,PXJASJ,破销案时间,VARCHAR2,14,DE00102,破销案时间,PXASJ,日期时间型（datetime）,t6（hhmmss）
42,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,PXJADW,破销案单位,VARCHAR2,18,,,,,
43,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,XLAJ,系列案件,VARCHAR2,23,,,,,
44,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,YSSJ,移送时间,VARCHAR2,14,DE00102,移送时间,YSSJ,日期时间型（datetime）,t6（hhmmss）
45,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,YSDW,移送单位,VARCHAR2,"4,000",,,,,
46,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,BAMJ,办案民警,VARCHAR2,300,,,,,
47,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,AJMJ,案件密级，1=一级，2=二级，3=三级，4=四级，5=五级，一级最高,VARCHAR2,2,,,,,
49,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,DYCTJYJ,第一次调解意见当为刑事则空,VARCHAR2,"3,072",,,,,
50,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,DECTJSJ,第二次调解时间为刑事则空,VARCHAR2,14,,,,,
51,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,DECTJYJ,第二次调解意见为刑事则空,VARCHAR2,"3,072",,,,,
52,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,BZ,备注,VARCHAR2,"1,500",,,,,
53,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,TBR,填表人,VARCHAR2,90,DE00002,填表人姓名,TBRXM,字符型（string）,c..50
54,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,TBSJ,填表时间,VARCHAR2,14,DE00102,填表时间,TBSJ,日期时间型（datetime）,t6（hhmmss）
55,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,RKSJ,入情报库时间,DATE,,DE00102,入情报库时间,RQBKSJ,日期时间型（datetime）,t6（hhmmss）
56,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,ZHXGSJ,最后修改时间,DATE,,DE00102,最后修改时间,ZHXGSJ,日期时间型（datetime）,t6（hhmmss）
57,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,SCBZ,删除标志，0-正常，1-删除,VARCHAR2,1,,,,,
58,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
59,案（事）件要素,JZ_XSXZAJ,警综_刑事行政案件,DEP_ACTION_TIME,操作时间,DATE,,,,,,
1,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,WYBZ,唯一标识,VARCHAR2,75,,,,,
2,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,LYGS,来源公司表明信息来源公司，联宏-L，华南-H,VARCHAR2,1,,,,,
3,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,ASJWYID,案件唯一ID,VARCHAR2,75,,,,,
4,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,XYRBH,嫌疑人编号,VARCHAR2,75,,,,,
5,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,ZHDW,抓获单位,VARCHAR2,75,,,,,
6,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,ZHRQ,抓获日期,VARCHAR2,14,DE00101,抓获日期,ZHRQ,日期型（date）,d8（YYYYMMDD）
8,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,ZHFS,抓获方式,VARCHAR2,15,DE00054,抓获方式代码,ZHFSDM,字符型（string）,c2
9,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,ZHYJ,抓获依据,VARCHAR2,150,,,,,
11,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,RKSJ,入情报库时间,DATE,,DE00102,入情报库时间,RQBKSJ,日期时间型（datetime）,t6（hhmmss）
12,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,ZHXGSJ,最后修改时间,DATE,,DE00102,最后修改时间,ZHXGSJ,日期时间型（datetime）,t6（hhmmss）
13,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,SCBZ,删除标志，0-正常，1-删除,VARCHAR2,1,,,,,
14,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
15,案（事）件要素,JZ_XYRZHQK,警综_嫌疑人抓获情况,DEP_ACTION_TIME,操作时间,DATE,,,,,,
2,人员要素,QBZX_ZDRY,情报中心_重点人员,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
3,人员要素,QBZX_ZDRY,情报中心_重点人员,XMPY,姓名拼音,VARCHAR2,90,DE00003,姓名汉语拼音,XMHYPY,字符型（string）,c..150
5,人员要素,QBZX_ZDRY,情报中心_重点人员,XB,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
6,人员要素,QBZX_ZDRY,情报中心_重点人员,CSRQ,出生日期,VARCHAR2,8,DE00101,出生日期,CSRQ,日期型（date）,d8（YYYYMMDD）
8,人员要素,QBZX_ZDRY,情报中心_重点人员,SFZH,公民身份号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
9,人员要素,QBZX_ZDRY,情报中心_重点人员,QTZJHM,其它证件类型,VARCHAR2,30,,,,,
10,人员要素,QBZX_ZDRY,情报中心_重点人员,MZ,民族,VARCHAR2,2,,,,,
12,人员要素,QBZX_ZDRY,情报中心_重点人员,HJDQH,户籍地区划,VARCHAR2,6,DE00070,户籍地区划,HJDXZQHDM,字符型（string）,c6
13,人员要素,QBZX_ZDRY,情报中心_重点人员,HJDXZ,户籍地详址,VARCHAR2,100,DE00075,户籍地详址,HJDDZMC,字符型（string）,c..100
15,人员要素,QBZX_ZDRY,情报中心_重点人员,HJDPCSDM,户籍地派出所代码,VARCHAR2,12,,,,,
17,人员要素,QBZX_ZDRY,情报中心_重点人员,XZDXZ,现住地详址,VARCHAR2,100,DE00075,现住地地址名称,XZDDZMC,字符型（string）,c..100
18,人员要素,QBZX_ZDRY,情报中心_重点人员,XZDPCS,现住地派出所,VARCHAR2,70,,,,,
19,人员要素,QBZX_ZDRY,情报中心_重点人员,XZDPCSDM,现住地派出所代码,VARCHAR2,12,,,,,
20,人员要素,QBZX_ZDRY,情报中心_重点人员,GXDW,管辖单位,VARCHAR2,70,,,,,
21,人员要素,QBZX_ZDRY,情报中心_重点人员,GXDWJGDM,管辖单位机构代码,VARCHAR2,12,,,,,
22,人员要素,QBZX_ZDRY,情报中心_重点人员,LADW,立案单位,VARCHAR2,70,,,,,
23,人员要素,QBZX_ZDRY,情报中心_重点人员,LADWJGDM,立案单位机构代码,VARCHAR2,12,,,,,
24,人员要素,QBZX_ZDRY,情报中心_重点人员,ZJLASJ,最近立案时间,DATE,,DE00102,最后立案时间,ZHLASJ,日期时间型（datetime）,t6（hhmmss）
25,人员要素,QBZX_ZDRY,情报中心_重点人员,NRBJZDRYKSJ,纳入部级重点人员库时间,DATE,,DE00102,纳入部级重点人员库时间,NRBJZDRYKSJ,日期时间型（datetime）,t6（hhmmss）
26,人员要素,QBZX_ZDRY,情报中心_重点人员,ZDRYLBBJ,重点人员类别标记,VARCHAR2,32,,,,,
27,人员要素,QBZX_ZDRY,情报中心_重点人员,ZDRYXL,重点人员细类,VARCHAR2,130,,,,,
28,人员要素,QBZX_ZDRY,情报中心_重点人员,YXX,有效性 业务有效性,VARCHAR2,1,,,,,
29,人员要素,QBZX_ZDRY,情报中心_重点人员,JLCXSJ,业务记录撤销时间,DATE,,DE00102,业务记录撤销时间,YWJBCXSJ,日期时间型（datetime）,t6（hhmmss）
30,人员要素,QBZX_ZDRY,情报中心_重点人员,JLBGSJ,业务记录变更时间,DATE,,DE00102,业务记录变更时间,YWJLBGSJ,日期时间型（datetime）,t6（hhmmss）
32,人员要素,QBZX_ZDRY,情报中心_重点人员,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
33,人员要素,QBZX_ZDRY,情报中心_重点人员,DEP_ACTION_TIME,操作时间,DATE,,,,,,
34,人员要素,QBZX_ZDRY,情报中心_重点人员,DEP_RKSJ,,DATE,,,,,,
1,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,WYBZ,唯一标识,VARCHAR2,46,,,,,
2,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,YYCSDM,营业场所代码,VARCHAR2,14,,,,,
3,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,YYCSMC,营业场所名称,VARCHAR2,70,,,,,
4,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,DZQH,地址区划,VARCHAR2,6,,,,,
5,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,DZ,地址,VARCHAR2,100,DE00075,地址名称,DZMC,字符型（string）,c..100
6,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,SWRYXM,上网人员姓名,VARCHAR2,30,DE00002,上网人员姓名,SWRYXM,字符型（string）,c..50
7,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,ZJLX,证件类型,VARCHAR2,5,,,,,
8,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,ZJHM,证件号码,VARCHAR2,18,,,,,
9,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,FZJGMC,发证机关名称,VARCHAR2,70,,,,,
10,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,GJ,国籍,VARCHAR2,3,DE00017,国籍代码,GJDM,字符型（string）,c3
11,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,SWKSSJ,上网开始时间,DATE,,DE00102,上网开始时间,SWKSSJ,日期时间型（datetime）,t6（hhmmss）
12,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,XWSJ,下网时间,DATE,,DE00102,下网时间,XWSJ,日期时间型（datetime）,t6（hhmmss）
14,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,BD_ID,,NUMBER,,,,,,
15,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
16,人员元素,WB_SWRY,互联网上网服务营业场所上网人员,DEP_ACTION_TIME,,DATE,,,,,,
3,地点元素,WB_XX,互联网上网服务营业场所,YYCSMC,网吧名称,VARCHAR2,70,,,,,
5,地点元素,WB_XX,互联网上网服务营业场所,DZ,地址,VARCHAR2,80,DE00075,地址名称,DZMC,字符型（string）,c..100
6,地点元素,WB_XX,互联网上网服务营业场所,CKIPDZ,出口IP地址,VARCHAR2,200,,,,,
7,地点元素,WB_XX,互联网上网服务营业场所,SSWJBMJGDM,所属网监部门机构代码,VARCHAR2,12,,,,,
8,地点元素,WB_XX,互联网上网服务营业场所,SSWJBMMC,所属网监部门名称,VARCHAR2,70,,,,,
9,地点元素,WB_XX,互联网上网服务营业场所,FDDBR,法定代表人,VARCHAR2,70,DE00059,法定代表人姓名,FDDBRXM,字符型（string）,c..50
10,地点元素,WB_XX,互联网上网服务营业场所,FZR,负责人,VARCHAR2,70,DE00059,负责人姓名,FZRXM,字符型（string）,c..50
11,地点元素,WB_XX,互联网上网服务营业场所,LXDH,联系电话,VARCHAR2,20,DE00216,联系电话,LXDH,字符型（string）,c..18
12,地点元素,WB_XX,互联网上网服务营业场所,SSGAJGJGDM,所属公安机关机构代码,VARCHAR2,12,DE00060,公安机关机构代码,SSGAJGJGDM,字符型（string）,c12
15,地点元素,WB_XX,互联网上网服务营业场所,ZRMJSFZH,责任民警身份证号,VARCHAR2,18,DE00001,责任民警公民身份号码,ZRMJGMSFHM,字符型（string）,c18
17,地点元素,WB_XX,互联网上网服务营业场所,GISY,,NUMBER,9,,,,,
18,地点元素,WB_XX,互联网上网服务营业场所,BJ,,VARCHAR2,1,,,,,
19,地点元素,WB_XX,互联网上网服务营业场所,XGRXM,,VARCHAR2,70,,,,,
21,地点元素,WB_XX,互联网上网服务营业场所,IP,,VARCHAR2,18,,,,,
22,地点元素,WB_XX,互联网上网服务营业场所,XGSJ,,DATE,,,,,,
24,地点元素,WB_XX,互联网上网服务营业场所,BZ,备注,VARCHAR2,"4,000",,,,,
26,地点元素,WB_XX,互联网上网服务营业场所,DEP_ACTION_TIME,,DATE,,,,,,
1,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,HZXH,火灾序号,VARCHAR2,14,,,,,
2,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,TBSJ,填表时间,DATE,,DE00102,填表时间,TBSJ,日期时间型（datetime）,t6（hhmmss）
3,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,XFDDM,消防队代码,VARCHAR2,10,,,,,
4,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,QHSJ,起火时间,DATE,,DE00102,起火时间,QHSJ,日期时间型（datetime）,t6（hhmmss）
5,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,QHDD,起火地点,VARCHAR2,100,DE00075,起火地址名称,QHDZMC,字符型（string）,c..100
6,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,DWDM,单位代码,VARCHAR2,14,,,,,
7,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,HZM,户主名,VARCHAR2,100,DE00059,户主姓名,HZXM,字符型（string）,c..50
8,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,QHCS,起火场所,VARCHAR2,10,,,,,
9,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,JZJG,建筑结构,VARCHAR2,4,,,,,
10,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,QHW,起火物,VARCHAR2,8,DE00481,起火物代码,QHWDM,字符型（string）,c3
11,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,HZYYFL,火灾原因分类,VARCHAR2,10,,,,,
12,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,QHJG,起火经过,VARCHAR2,"1,000",,,,,
13,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,ZJCCSS,直接财产损失,NUMBER,10,,,,,
14,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,GHMJ,过火面积,NUMBER,10,,,,,
15,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,SZHS,受灾户数,NUMBER,8,,,,,
16,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,SZRS,受灾人数,NUMBER,10,DE00829,受灾人数,SZRS,数值型（numeric）,n..10
17,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,SWRS,死亡人数,NUMBER,6,DE00829,死亡人数,SWRS,数值型（numeric）,n..10
18,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,SSRS,受伤人数,NUMBER,6,DE00829,受伤人数,SSRS,数值型（numeric）,n..10
19,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,HZDJ,火灾等级,VARCHAR2,20,DE00440,火灾等级代码,HZDJDM,字符型（string）,c1
20,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
21,案（事）件元素,XF_HZJJXX,消防_火灾基本信息,DEP_ACTION_TIME,操作时间,DATE,,,,,,
1,地点元素,XF_ZDDW,消防_重点单位,JGID,,VARCHAR2,18,,,,,
2,地点元素,XF_ZDDW,消防_重点单位,DWBH,,VARCHAR2,40,,,,,
4,地点元素,XF_ZDDW,消防_重点单位,DWMC,,VARCHAR2,60,,,,,
7,地点元素,XF_ZDDW,消防_重点单位,YZBM,,VARCHAR2,6,,,,,
8,地点元素,XF_ZDDW,消防_重点单位,DWLB,,VARCHAR2,2,,,,,
10,地点元素,XF_ZDDW,消防_重点单位,XFAQGLR,,VARCHAR2,30,,,,,
11,地点元素,XF_ZDDW,消防_重点单位,ZJZXFGLR,,VARCHAR2,30,,,,,
14,地点元素,XF_ZDDW,消防_重点单位,ZDMJ,,NUMBER,18,,,,,
15,地点元素,XF_ZDDW,消防_重点单位,JZMJ,,NUMBER,18,,,,,
16,地点元素,XF_ZDDW,消防_重点单位,DWZPMT,,BLOB,,,,,,
17,地点元素,XF_ZDDW,消防_重点单位,ZHSJC,,DATE,,,,,,
18,地点元素,XF_ZDDW,消防_重点单位,YZJ,,VARCHAR2,40,,,,,
19,地点元素,XF_ZDDW,消防_重点单位,SFWTSJ,,VARCHAR2,1,,,,,
20,地点元素,XF_ZDDW,消防_重点单位,SJZXSJ,,VARCHAR2,8,,,,,
21,地点元素,XF_ZDDW,消防_重点单位,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
22,地点元素,XF_ZDDW,消防_重点单位,DEP_ACTION_TIME,,DATE,,,,,,
1,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,AJBH,案件编号,VARCHAR2,23,,,,,
2,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,AJXZ,案件性质,VARCHAR2,16,,,,,
4,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,CLPP,车辆品牌,VARCHAR2,32,,,,,
5,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,CLXH,车辆型号,VARCHAR2,32,,,,,
6,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,HPZL,号牌种类,VARCHAR2,16,DE00306,机动车号牌种类代码,JDCHPZLDM,字符型（string）,字符型（string）
8,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,CSYS,车身颜色,VARCHAR2,6,DE00308,机动车车身颜色代码,JDCCSYSDM,字符型（string）,c1
9,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,JDCSYR,机动车所有人,VARCHAR2,256,,,,,
10,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,CCDJRQ,初次登记日期,DATE,,DE00101,初次登记日期,CCDJRQ,日期型（date）,d8（YYYYMMDD）
11,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,FDJH,发动机号,VARCHAR2,30,,,,,
12,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,CLSBDH,车辆识别代号,VARCHAR2,25,,,,,
14,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,BAR,报案人,VARCHAR2,64,DE00002,报案人姓名,BARXM,字符型（string）,c..50
16,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,LADWDM,立案单位代码,VARCHAR2,12,,,,,
17,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,LADWMC,立案单位名称,VARCHAR2,64,DE00065,立案单位名称,LADWMC,字符型（string）,c..100
18,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,LASJ,立案时间,DATE,,DE00102,立案时间,LASJ,日期时间型（datetime）,t6（hhmmss）
19,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,LAJBR,立案经办人,VARCHAR2,64,DE00002,立案经办人姓名,LAJBRXM,字符型（string）,c..50
20,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,LADH,立案单位联系电话,VARCHAR2,64,DE00216,立案单位联系电话,LADWLXDH,字符型（string）,c..18
21,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,SLDWQH,受理单位区划,VARCHAR2,12,,,,,
22,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,SLDWDM,受理单位代码,VARCHAR2,12,,,,,
23,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,SLDWMC,受理单位名称,VARCHAR2,64,DE00065,受理单位名称,SLDWMC,字符型（string）,c..100
24,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,SLSJ,受理时间,DATE,,DE00102,受理时间,SLSJ,日期时间型（datetime）,t6（hhmmss）
25,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,SLJBR,受理经办人,VARCHAR2,64,DE00002,受理经办人姓名,SLJBRXM,字符型（string）,c..50
27,物品要素素,XZ_BDQCLCXX,被盗抢机动车信息,SFCJBDQX,是否参加被盗抢险,VARCHAR2,1,,,,,
35,案(事)件要素,JZ_JCJ,警综_接处警,TBSJ,填报时间,VARCHAR2,14,DE00554,填报时间,TBSJ,日期时间型（datetime）,t6（hhmmss）
2,人员要素,JZ_JCXX_SYRKXX,警综_新疆籍_实有人口信息,RYID,人员ID,NUMBER,,,,,,
3,人员要素,JZ_JCXX_SYRKXX,警综_新疆籍_实有人口信息,RYSX,人员属性（目前已定义90位，具体说明附后）,VARCHAR2,"1,000",,,,,
4,人员要素,JZ_JCXX_SYRKXX,警综_新疆籍_实有人口信息,XM,姓名,VARCHAR2,75,DE00002,姓名,XM,字符型（string）,c..50
