表内序号,五要素,表名,字段名称,字段描述,字段类型,长度,内部标识符,中文名称,标识符,数据类型,表示格式
32,物品要素,JJ_FJDC,HDFS,获得方式,VARCHAR2,32,,,,,
33,物品要素,JJ_FJDC,SYXZ,使用性质,VARCHAR2,32,,,,,
34,物品要素,JJ_FJDC,CLZT,车辆状态,VARCHAR2,32,,,,,
35,物品要素,JJ_FJDC,XSQY,行驶区域,VARCHAR2,32,,,,,
36,物品要素,JJ_FJDC,YXQ,有效期,DATE,,DE00611,有效期截止日期,YXQJZRQ,日期型（date）,d8(YYYYMMDD)
37,物品要素,JJ_FJDC,FPJG,发牌机关,VARCHAR2,32,DE00065,发牌机关单位名称,FPJGDWMC,字符型（string）,c..100
38,物品要素,JJ_FJDC,XGZL,相关资料,VARCHAR2,300,,,,,
39,物品要素,JJ_FJDC,HPHM,号牌号码,VARCHAR2,80,,,,,
40,物品要素,JJ_FJDC,ZT,状态,VARCHAR2,32,,,,,
41,物品要素,JJ_FJDC,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
42,物品要素,JJ_FJDC,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,JJ_JDCJSRBMKS,LSH,流水号,VARCHAR2,13,,,,,
2,人员要素,JJ_JDCJSRBMKS,KSKM,考试科目,VARCHAR2,1,,,,,
3,人员要素,JJ_JDCJSRBMKS,ZKZMBH,准考证明编号,VARCHAR2,12,,,,,
4,人员要素,JJ_JDCJSRBMKS,SFZMMC,身份证明名称,VARCHAR2,1,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
5,人员要素,JJ_JDCJSRBMKS,SFZMHM,身份证明号码,VARCHAR2,18,,,,,
6,人员要素,JJ_JDCJSRBMKS,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
7,人员要素,JJ_JDCJSRBMKS,KSYY,考试原因,VARCHAR2,1,,,,,
8,人员要素,JJ_JDCJSRBMKS,XXSJ,学习时间,NUMBER,3,DE00102,学习时间,XXSJ,日期时间型（datetime）,t6（hhmmss）
9,人员要素,JJ_JDCJSRBMKS,YYRQ,预约日期,DATE,,DE00101,预约日期,YYRQ,日期型（date）,d8（YYYYMMDD）
10,人员要素,JJ_JDCJSRBMKS,YKRQ,预考日期,DATE,,DE00101,预考日期,YKRQ,日期型（date）,d8（YYYYMMDD）
11,人员要素,JJ_JDCJSRBMKS,KSCX,考试车型,VARCHAR2,6,,,,,
12,人员要素,JJ_JDCJSRBMKS,KSDD,考试地点,VARCHAR2,64,DE00075,考试地址名称,KSDZMC,字符型（string）,c..100
13,人员要素,JJ_JDCJSRBMKS,KSCC,考试场次,NUMBER,2,,,,,
14,人员要素,JJ_JDCJSRBMKS,KCHP,考车号牌,VARCHAR2,15,,,,,
15,人员要素,JJ_JDCJSRBMKS,GLBM,管理部门,VARCHAR2,12,,,,,
16,人员要素,JJ_JDCJSRBMKS,KSCJ,考试成绩,NUMBER,3,,,,,
17,人员要素,JJ_JDCJSRBMKS,KSRQ,考试日期,DATE,,DE00101,考试日期,KSRQ,日期型（date）,d8（YYYYMMDD）
18,人员要素,JJ_JDCJSRBMKS,KSCS,考试次数,NUMBER,2,,,,,
19,人员要素,JJ_JDCJSRBMKS,KSY1,考试员1,VARCHAR2,30,DE00002,考试员姓名,KSYXM,字符型（string）,c..50
20,人员要素,JJ_JDCJSRBMKS,KSY2,考试员2,VARCHAR2,30,DE00002,考试员2姓名,KSYXM2,字符型（string）,c..50
21,人员要素,JJ_JDCJSRBMKS,JYW,检验位,VARCHAR2,256,,,,,
22,人员要素,JJ_JDCJSRBMKS,ZT,状态,VARCHAR2,1,,,,,
23,人员要素,JJ_JDCJSRBMKS,PXSHRQ,培训审核日期,DATE,,DE00101,培训审核日期,PXSHRQ,日期型（date）,d8（YYYYMMDD）
24,人员要素,JJ_JDCJSRBMKS,YYBJ,预约标记,VARCHAR2,1,,,,,
25,人员要素,JJ_JDCJSRBMKS,SFYK,是否夜考,VARCHAR2,1,,,,,
26,人员要素,JJ_JDCJSRBMKS,KCHPHM,考车号牌号码,VARCHAR2,10,,,,,
27,人员要素,JJ_JDCJSRBMKS,ZKYKRQ,桩考约考日期,DATE,,DE00101,桩考约考日期,ZKYKRQ,日期型（date）,d8（YYYYMMDD）
28,人员要素,JJ_JDCJSRBMKS,ZKSFHG,桩考是否合格,VARCHAR2,1,,,,,
29,人员要素,JJ_JDCJSRBMKS,CLZL,车辆种类,VARCHAR2,10,,,,,
30,人员要素,JJ_JDCJSRBMKS,JLY,教练员,VARCHAR2,30,DE00002,教练员姓名,JLYXM,字符型（string）,c..50
31,人员要素,JJ_JDCJSRBMKS,ZKKF,桩考扣分,NUMBER,3,,,,,
32,人员要素,JJ_JDCJSRBMKS,CKYY,场考是否已约,VARCHAR2,1,,,,,
33,人员要素,JJ_JDCJSRBMKS,ZWH,桩位号,VARCHAR2,30,,,,,
34,人员要素,JJ_JDCJSRBMKS,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
35,人员要素,JJ_JDCJSRBMKS,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,物品要素,JJ_JDCXX,DJZSBH,登记证书编号,VARCHAR2,15,,,,,
2,物品要素,JJ_JDCXX,HPHM,号牌号码,VARCHAR2,15,,,,,
3,物品要素,JJ_JDCXX,HPZL,号牌种类,VARCHAR2,2,DE00306,机动车号牌种类代码,JDCHPZLDM,字符型（string）,c2
4,物品要素,JJ_JDCXX,ZZG,制造国,VARCHAR2,3,DE00069,制造国家和地区代码,ZZGJHDQDM,字符型（string）,c3
5,物品要素,JJ_JDCXX,ZZCMC,制造厂名称,VARCHAR2,70,,,,,
6,物品要素,JJ_JDCXX,GCJK,国产/进口,VARCHAR2,1,,,,,
7,物品要素,JJ_JDCXX,CLPP1,,VARCHAR2,32,,,,,
8,物品要素,JJ_JDCXX,CLPP2,,VARCHAR2,32,,,,,
9,物品要素,JJ_JDCXX,CLXH,车辆型号,VARCHAR2,32,,,,,
10,物品要素,JJ_JDCXX,CLLXDM,车辆类型,VARCHAR2,3,,,,,
11,物品要素,JJ_JDCXX,CLSBDH,车辆识别代号,VARCHAR2,25,,,,,
12,物品要素,JJ_JDCXX,FDJH,发动机号,VARCHAR2,30,,,,,
13,物品要素,JJ_JDCXX,CSYS,车身颜色,VARCHAR2,5,,,,,
14,物品要素,JJ_JDCXX,JDCSYR,机动车所有人,VARCHAR2,70,DE00002,机动车所有人姓名,JDCSYRXM,字符型（string）,c..50
15,物品要素,JJ_JDCXX,SFZMMC,身份证明名称,VARCHAR2,3,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
16,物品要素,JJ_JDCXX,SFZMHM,身份证明号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
17,物品要素,JJ_JDCXX,ZSXZQH,住所行政区划,VARCHAR2,6,DE00070,行政区划代码,XZQHDM,字符型（string）,c6
18,物品要素,JJ_JDCXX,ZSXZ,住所详址,VARCHAR2,128,DE00075,住所地址名称,ZSDZMC,字符型（string）,c..100
19,物品要素,JJ_JDCXX,ZSXZZB,住所详址坐标,VARCHAR2,32,,,,,
20,物品要素,JJ_JDCXX,ZSYZBM,住所邮政编码,VARCHAR2,6,DE00077,住所邮政编码,ZSYZBM,字符型（string）,c6
21,物品要素,JJ_JDCXX,LXDH,联系电话,VARCHAR2,40,DE00216,联系电话,LXDH,字符型（string）,c..18
22,物品要素,JJ_JDCXX,ZZZH,暂住证/居留证号,VARCHAR2,18,,,,,
23,物品要素,JJ_JDCXX,ZZXZQH,暂住行政区划,VARCHAR2,6,DE00070,暂住行政区划代码,ZZXZQHDM,字符型（string）,c6
24,物品要素,JJ_JDCXX,ZZXXDZ,暂住详细地址,VARCHAR2,128,DE00075,暂住地址名称,ZZDZMC,字符型（string）,c..100
25,物品要素,JJ_JDCXX,ZZXZZB,暂住详址坐标,VARCHAR2,32,,,,,
26,物品要素,JJ_JDCXX,ZZYZBM,暂住邮政编码,VARCHAR2,6,DE00077,暂住邮政编码,ZZYZBM,字符型（string）,c6
27,物品要素,JJ_JDCXX,CCDJRQ,初次登记日期,DATE,,DE00524,初次登记时间,CCDJSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
28,物品要素,JJ_JDCXX,ZJDJRQ,最近定检日期,DATE,,DE00101,最近定检日期,ZJDJRQ,日期型（date）,d8（YYYYMMDD）
29,物品要素,JJ_JDCXX,JYYXQZ,检验有效期止,DATE,,,,,,
30,物品要素,JJ_JDCXX,QZBFQZ,强制报废期止,DATE,,,,,,
31,物品要素,JJ_JDCXX,FZJGDM,发证机关代码,VARCHAR2,12,,,,,
32,物品要素,JJ_JDCXX,FZRQ,发证日期,DATE,,DE00101,发证日期日期,FZRQ,日期型（date）,d8（YYYYMMDD）
33,物品要素,JJ_JDCXX,JDCZT,机动车状态,VARCHAR2,6,,,,,
34,物品要素,JJ_JDCXX,DYBJ,抵押标记,VARCHAR2,1,,,,,
35,物品要素,JJ_JDCXX,BXZZRQ,保险终止日期,DATE,,DE00101,保险终止日期,BXZZRQ,日期型（date）,d8（YYYYMMDD）
36,物品要素,JJ_JDCXX,FDJXH,发动机型号,VARCHAR2,64,,,,,
37,物品要素,JJ_JDCXX,RLZL,燃料种类,VARCHAR2,3,,,,,
38,物品要素,JJ_JDCXX,PL,排量,NUMBER,8,,,,,
39,物品要素,JJ_JDCXX,GL,功率,NUMBER,5,,,,,
40,物品要素,JJ_JDCXX,ZXXS,转向形式,VARCHAR2,1,,,,,
41,物品要素,JJ_JDCXX,CWKC,车外廓长,NUMBER,5,,,,,
42,物品要素,JJ_JDCXX,CWKK,车外廓宽,NUMBER,4,,,,,
43,物品要素,JJ_JDCXX,CWKG,车外廓高,NUMBER,4,,,,,
44,物品要素,JJ_JDCXX,HXNBCD,货箱内部长度,NUMBER,5,,,,,
45,物品要素,JJ_JDCXX,HXNBKD,货箱内部宽度,NUMBER,4,,,,,
46,物品要素,JJ_JDCXX,HXNBGD,货箱内部高度,NUMBER,4,,,,,
47,物品要素,JJ_JDCXX,GBTHPS,钢板弹簧片数,NUMBER,3,,,,,
48,物品要素,JJ_JDCXX,ZS,轴数,NUMBER,1,,,,,
49,物品要素,JJ_JDCXX,ZJ,轴距,NUMBER,5,,,,,
50,物品要素,JJ_JDCXX,QLJ,前轮距,NUMBER,4,,,,,
51,物品要素,JJ_JDCXX,HLJ,后轮距,NUMBER,4,,,,,
52,物品要素,JJ_JDCXX,LTGG,轮胎规格,VARCHAR2,64,,,,,
53,物品要素,JJ_JDCXX,LTS,轮胎数,NUMBER,2,,,,,
54,物品要素,JJ_JDCXX,ZZL,总质量,NUMBER,8,,,,,
55,物品要素,JJ_JDCXX,ZBZL,整备质量,NUMBER,8,,,,,
56,物品要素,JJ_JDCXX,HDZZL,核定载质量,NUMBER,8,,,,,
57,物品要素,JJ_JDCXX,HDZK,核定载客,NUMBER,3,,,,,
58,物品要素,JJ_JDCXX,ZQYZZL,准牵引总质量,NUMBER,8,,,,,
59,物品要素,JJ_JDCXX,JSSQPZKS,驾驶室前排载客数,NUMBER,1,,,,,
60,物品要素,JJ_JDCXX,JSSHPZKS,驾驶室后排载客数,NUMBER,2,,,,,
61,物品要素,JJ_JDCXX,HBDBQK,环保达标情况,VARCHAR2,60,,,,,
62,物品要素,JJ_JDCXX,CCRQ,出厂日期,DATE,,DE00101,出厂日期,CCRQ,日期型（date）,d8（YYYYMMDD）
63,物品要素,JJ_JDCXX,HDFS,获得方式,VARCHAR2,1,,,,,
64,物品要素,JJ_JDCXX,SYQXZ,所有权性质,VARCHAR2,1,,,,,
65,物品要素,JJ_JDCXX,LLPZ1,来历凭证1,VARCHAR2,1,,,,,
66,物品要素,JJ_JDCXX,PZBH1,凭证编号1,VARCHAR2,20,,,,,
67,物品要素,JJ_JDCXX,LLPZ2,来历凭证2,VARCHAR2,1,,,,,
68,物品要素,JJ_JDCXX,PZBH2,凭证编号2,VARCHAR2,20,,,,,
69,物品要素,JJ_JDCXX,JKPZ,进口凭证,VARCHAR2,1,,,,,
70,物品要素,JJ_JDCXX,JKPZH,进口凭证号,VARCHAR2,20,,,,,
71,物品要素,JJ_JDCXX,ZCCCHGZH,整车出厂合格证号,VARCHAR2,20,,,,,
72,物品要素,JJ_JDCXX,NSZZ,纳税证明,VARCHAR2,1,,,,,
73,物品要素,JJ_JDCXX,NSZMBH,纳税证明编号,VARCHAR2,20,,,,,
74,物品要素,JJ_JDCXX,XGZL,相关资料,VARCHAR2,100,,,,,
75,物品要素,JJ_JDCXX,SYXZ,使用性质,VARCHAR2,1,,,,,
76,物品要素,JJ_JDCXX,BZ,备注,VARCHAR2,1024,,,,,
77,物品要素,JJ_JDCXX,YZJ,原主键,VARCHAR2,14,,,,,
78,物品要素,JJ_JDCXX,JDCID,入户机动车ID,VARCHAR2,23,,,,,
79,物品要素,JJ_JDCXX,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
80,物品要素,JJ_JDCXX,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,人员要素,JJ_JSRXX,DABH,,VARCHAR2,12,,,,,
2,人员要素,JJ_JSRXX,XM,姓名,VARCHAR2,30,DE00002,姓名,XM,字符型（string）,c..50
3,人员要素,JJ_JSRXX,XBDM,性别,VARCHAR2,1,DE00007,性别代码,XBDM,字符型（string）,c1
4,人员要素,JJ_JSRXX,MZDM,民族,VARCHAR2,2,DE00011,民族代码,MZDM,字符型（string）,c2
5,人员要素,JJ_JSRXX,GJHDQDM,国家（地区）,VARCHAR2,3,DE00069,国家和地区代码,GJHDQDM,字符型（string）,c3
6,人员要素,JJ_JSRXX,XZQH,行政区划,VARCHAR2,6,DE00070,行政区划代码,XZQHDM,字符型（string）,c6
7,人员要素,JJ_JSRXX,XZQJ,乡镇区局,VARCHAR2,12,DE00076,区划内详细地址,QHNXXDZ,字符型（string）,c..100
8,人员要素,JJ_JSRXX,CSRQ,出生日期,DATE,,DE00008,出生日期,CSRQ,日期型（date）,d8（YYYYMMDD）
9,人员要素,JJ_JSRXX,SFZMMC,身份证明名称,VARCHAR2,3,DE00085,常用证件代码,CYZJDM,字符型（string）,c3
10,人员要素,JJ_JSRXX,SFZMHM,身份证明号码,VARCHAR2,18,DE00001,公民身份号码,GMSFHM,字符型（string）,c18
11,人员要素,JJ_JSRXX,ZJCX,准驾车型,VARCHAR2,15,,,,,
12,人员要素,JJ_JSRXX,YZJCX,原准驾车型,VARCHAR2,10,,,,,
13,人员要素,JJ_JSRXX,QFRQ,下一清分日期,DATE,,DE00101,下一清分日期,XYQFRQ,日期型（date）,d8（YYYYMMDD）
14,人员要素,JJ_JSRXX,SYRQ,下一审验日期,DATE,,DE00101,下一审验日期,XYSYRQ,日期型（date）,d8（YYYYMMDD）
15,人员要素,JJ_JSRXX,CCLZRQ,初次领证日期,DATE,,DE00101,初次领证日期,CCLZRQ,日期型（date）,d8（YYYYMMDD）
16,人员要素,JJ_JSRXX,CCFZJG,初次发证机关,VARCHAR2,6,DE00065,初次发证机关单位名称,CCFZJGDWMC,字符型（string）,c..100
17,人员要素,JJ_JSRXX,JZQX,驾证期限,VARCHAR2,1,DE01057,驾证期限,JZQX,数值型（numeric）,n..5
18,人员要素,JJ_JSRXX,YXQS,有效期始,DATE,,DE00612,有效期起始日期,YXQQSRQ,日期型（date）,d8(YYYYMMDD)
19,人员要素,JJ_JSRXX,YXQZ,有效期止,DATE,,DE00611,有效期截止日期,YXQJZRQ,日期型（date）,d8(YYYYMMDD)
20,人员要素,JJ_JSRXX,LJJF,累积记分,NUMBER,3,,,,,
21,人员要素,JJ_JSRXX,CFRQ,超分日期,DATE,,DE00101,超分日期,CFRQ,日期型（date）,d8（YYYYMMDD）
22,人员要素,JJ_JSRXX,XXTZRQ,学习通知日期,DATE,,DE00101,学习通知日期,XXTZRQ,日期型（date）,d8（YYYYMMDD）
23,人员要素,JJ_JSRXX,BZCS,补证次数,NUMBER,2,,,,,
24,人员要素,JJ_JSRXX,ZT,驾驶证状态,VARCHAR2,24,,,,,
25,人员要素,JJ_JSRXX,LY,驾驶人来源,VARCHAR2,1,,,,,
26,人员要素,JJ_JSRXX,JXMC,驾校名称,VARCHAR2,70,DE00065,驾校单位名称,JXDWMC,字符型（string）,c..100
27,人员要素,JJ_JSRXX,JLY,教练员,VARCHAR2,30,DE00002,教练员姓名,JLYXM,字符型（string）,c..50
28,人员要素,JJ_JSRXX,FZRQ,发证日期,DATE,,DE00101,发证日期,FZRQ,日期型（date）,d8（YYYYMMDD）
29,人员要素,JJ_JSRXX,JBR,经办人,VARCHAR2,30,DE00002,经办人姓名,JBRXM,字符型（string）,c..50
30,人员要素,JJ_JSRXX,GLBM,管理部门,VARCHAR2,12,,,,,
31,人员要素,JJ_JSRXX,FZJG,发证机关,VARCHAR2,12,DE00065,发证机关单位名称,FZJGDWMC,字符型（string）,c..100
32,人员要素,JJ_JSRXX,YDABH,原档案编号,VARCHAR2,12,,,,,
33,人员要素,JJ_JSRXX,GXSJ,更新时间,DATE,,DE00629,更新时间,GXSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
34,人员要素,JJ_JSRXX,LXZSXXDZ,联系住所详细地址,VARCHAR2,128,DE00075,地址名称,DZMC,字符型（string）,c..100
35,人员要素,JJ_JSRXX,ZZSXXDZ,暂住住所详细地址,VARCHAR2,128,DE00075,地址名称,DZMC,字符型（string）,c..100
36,人员要素,JJ_JSRXX,ZZSXZQH,暂住住所行政区划,VARCHAR2,10,DE00070,行政区划代码,XZQHDM,字符型（string）,c6
37,人员要素,JJ_JSRXX,ZZZM,暂住证明,VARCHAR2,18,,,,,
38,人员要素,JJ_JSRXX,LXDH,联系电话,VARCHAR2,20,DE00216,联系电话,LXDH,字符型（string）,c..18
39,人员要素,JJ_JSRXX,ZDRUSJ,总队接收数据时间,DATE,,,,,,
40,人员要素,JJ_JSRXX,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
41,人员要素,JJ_JSRXX,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,案(事)件要素,JJ_JYSGXXZB,JAFS,简易结案方式1-调解结案 2-不同意结案 3-对认定有异议 4-拒绝签字,VARCHAR2,1,,,,,
2,案(事)件要素,JJ_JYSGXXZB,DLLX,道路类型,VARCHAR2,2,,,,,
3,案(事)件要素,JJ_JYSGXXZB,GLXZDJ,公路行政等级,VARCHAR2,1,,,,,
4,案(事)件要素,JJ_JYSGXXZB,TJFS,调解方式 1-自行协商 2-人民调解 3-行政调解 4-司法调解,VARCHAR2,1,,,,,
5,案(事)件要素,JJ_JYSGXXZB,DEP_ACTION_FLAG,操作标识,VARCHAR2,1,,,,,
6,案(事)件要素,JJ_JYSGXXZB,DEP_ACTION_TIME,操作时间,DATE,,DE00554,操作日期时间,CZRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
7,案(事)件要素,JJ_JYSGXXZB,DJBH,登记编号,VARCHAR2,15,,,,,
8,案(事)件要素,JJ_JYSGXXZB,SGBH,事故编号,VARCHAR2,16,,,,,
9,案(事)件要素,JJ_JYSGXXZB,XZQH,行政区划,VARCHAR2,10,DE00070,行政区划代码,XZQHDM,字符型（string）,c6
10,案(事)件要素,JJ_JYSGXXZB,XQ,星期,NUMBER,1,,,,,
11,案(事)件要素,JJ_JYSGXXZB,SGFSSJ,事故发生时间,DATE,,DE00554,事故发生日期时间,SGFSRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
12,案(事)件要素,JJ_JYSGXXZB,LH,路号,VARCHAR2,7,,,,,
13,案(事)件要素,JJ_JYSGXXZB,LM,路名,VARCHAR2,64,,,,,
14,案(事)件要素,JJ_JYSGXXZB,SGDD,事故地点,VARCHAR2,128,DE00075,事故地址名称,SGDZMC,字符型（string）,c..100
15,案(事)件要素,JJ_JYSGXXZB,SSRS,受伤人数,NUMBER,3,,,,,
16,案(事)件要素,JJ_JYSGXXZB,ZJCCSS,直接财产损失,NUMBER,9,,,,,
17,案(事)件要素,JJ_JYSGXXZB,LWSGLX,路外事故类型,VARCHAR2,1,,,,,
18,案(事)件要素,JJ_JYSGXXZB,RDYYFL,事故认定原因分类,VARCHAR2,2,,,,,
19,案(事)件要素,JJ_JYSGXXZB,SGRDYY,事故认定原因,VARCHAR2,4,,,,,
20,案(事)件要素,JJ_JYSGXXZB,TQ,天气,VARCHAR2,1,,,,,
21,案(事)件要素,JJ_JYSGXXZB,XC,现场,VARCHAR2,1,,,,,
22,案(事)件要素,JJ_JYSGXXZB,SWSG,涉外事故1是2否,VARCHAR2,1,,,,,
23,案(事)件要素,JJ_JYSGXXZB,SGXT,事故形态 ,VARCHAR2,2,,,,,
24,案(事)件要素,JJ_JYSGXXZB,CLJSG,车辆间事故,VARCHAR2,1,,,,,
25,案(事)件要素,JJ_JYSGXXZB,DCSG,单车事故,VARCHAR2,2,,,,,
26,案(事)件要素,JJ_JYSGXXZB,PZFS,碰撞方式 1-单车 2-双车 3-多车 4-车人事故,VARCHAR2,1,,,,,
27,案(事)件要素,JJ_JYSGXXZB,LBQK,路表情况,VARCHAR2,2,,,,,
28,案(事)件要素,JJ_JYSGXXZB,TJR1,调解人1,VARCHAR2,30,DE00002,调解人姓名,TJRXM,字符型（string）,c..50
29,案(事)件要素,JJ_JYSGXXZB,CCLRSJ,初次录入时间,DATE,,DE00554,初次录入日期时间,CCLRRQSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
30,案(事)件要素,JJ_JYSGXXZB,JLLX, 1-快报记录 2-快报/全项记录 3全项记录,VARCHAR2,1,,,,,
31,案(事)件要素,JJ_JYSGXXZB,SB,上报 ,VARCHAR2,1,,,,,
32,案(事)件要素,JJ_JYSGXXZB,TJSGBH,统计事故编号,VARCHAR2,64,,,,,
33,案(事)件要素,JJ_JYSGXXZB,GLBM,管理部门,VARCHAR2,12,,,,,
34,案(事)件要素,JJ_JYSGXXZB,SGSS,事故事实,VARCHAR2,2000,,,,,
35,案(事)件要素,JJ_JYSGXXZB,ZRTJJG,责任调解结果,VARCHAR2,2000,,,,,
36,案(事)件要素,JJ_JYSGXXZB,JAR1,接案人1,VARCHAR2,30,DE00002,接案人姓名,JARXM,字符型（string）,c..50
37,案(事)件要素,JJ_JYSGXXZB,JAR2,接案人2,VARCHAR2,30,DE00002,接案人2姓名,JARXM2,字符型（string）,c..50
38,案(事)件要素,JJ_JYSGXXZB,JBR,经办人,VARCHAR2,30,DE00002,经办人姓名,JBRXM,字符型（string）,c..50
39,案(事)件要素,JJ_JYSGXXZB,GXSJ,更新时间,DATE,,DE00629,更新时间,GXSJ,日期时间型（datetime）,d14(YYYYMMDDhhmmss)
1,案(事)件要素,JJ_KKXX,GCXH,过车序号,VARCHAR2,22,,,,,
2,案(事)件要素,JJ_KKXX,KKBH,卡口编号,VARCHAR2,18,,,,,
3,案(事)件要素,JJ_KKXX,FXBH,方向编号,VARCHAR2,16,,,,,
4,案(事)件要素,JJ_KKXX,SBBH,设备编号,VARCHAR2,18,,,,,
5,案(事)件要素,JJ_KKXX,CTHPHM,车头号牌号码,VARCHAR2,18,,,,,
6,案(事)件要素,JJ_KKXX,CWHPHM,车尾号牌号码,VARCHAR2,18,,,,,
7,案(事)件要素,JJ_KKXX,HPYZ,号牌一致,VARCHAR2,2,,,,,
8,案(事)件要素,JJ_KKXX,CLPP,车辆品牌,VARCHAR2,10,,,,,
9,案(事)件要素,JJ_KKXX,CLWX,车辆外型,VARCHAR2,10,,,,,
10,案(事)件要素,JJ_KKXX,CSYS,车身颜色,VARCHAR2,10,,,,,
11,案(事)件要素,JJ_KKXX,GCSJ,过车时间,TIMESTAMP(6),6,DE00102,过车时间,GCSJ,日期时间型（datetime）,t6（hhmmss）
12,案(事)件要素,JJ_KKXX,RKSJ,入库时间,TIMESTAMP(6),6,DE00102,入库时间,RKSJ,日期时间型（datetime）,t6（hhmmss）
13,案(事)件要素,JJ_KKXX,XZQHH,行政区划号,VARCHAR2,12,DE00070,行政区划代码,XZQHDM,字符型（string）,c6
14,案(事)件要素,JJ_KKXX,KKMC,卡口名称,VARCHAR2,256,,,,,
15,案(事)件要素,JJ_KKXX,KKLX,卡口类型,VARCHAR2,1,,,,,
16,案(事)件要素,JJ_KKXX,GABH,公安编号,VARCHAR2,32,,,,,
17,案(事)件要素,JJ_KKXX,DWBH,单位编号,VARCHAR2,12,,,,,
18,案(事)件要素,JJ_KKXX,DLBM,卡口道路编码,VARCHAR2,20,,,,,
19,案(事)件要素,JJ_KKXX,DLMC,卡口道路名称,VARCHAR2,256,,,,,
20,案(事)件要素,JJ_KKXX,KKJD,卡口经度,VARCHAR2,16,,,,,
21,案(事)件要素,JJ_KKXX,KKWD,卡口维度,VARCHAR2,16,,,,,
22,案(事)件要素,JJ_KKXX,DD,卡口地点,VARCHAR2,256,,,,,
23,案(事)件要素,JJ_KKXX,FXLX,方向类型,VARCHAR2,1,,,,,
24,案(事)件要素,JJ_KKXX,FXMC,方向名称,VARCHAR2,256,,,,,
25,案(事)件要素,JJ_KKXX,SBMC,设备名称,VARCHAR2,256,,,,,
26,案(事)件要素,JJ_KKXX,DEP_ACTION_FLAG,,VARCHAR2,1,,,,,
27,案(事)件要素,JJ_KKXX,DEP_ACTION_TIME,,DATE,,,,,,
28,案(事)件要素,JJ_KKXX,SSGAJGMC,所属公安机关名称DWBH,VARCHAR2,50,DE00060,公安机关机构代码,GAJGJGDM,字符型（string）,c12
1,案(事)件要素,JJ_WFJL,WFBH,违法编号,VARCHAR2,22,,,,,
2,案(事)件要素,JJ_WFJL,JDSLB,决定书类别,VARCHAR2,1,,,,,
3,案(事)件要素,JJ_WFJL,JDSBH,决定书编号,VARCHAR2,15,,,,,
4,案(事)件要素,JJ_WFJL,JSZH,驾驶证号,VARCHAR2,18,,,,,
5,案(事)件要素,JJ_WFJL,DABH,档案编号,VARCHAR2,12,,,,,
6,案(事)件要素,JJ_WFJL,FZJG,发证机关,VARCHAR2,10,,,,,
7,案(事)件要素,JJ_WFJL,ZJCX,准驾车型,VARCHAR2,10,,,,,
8,案(事)件要素,JJ_WFJL,DSR,当事人,VARCHAR2,30,DE00002,当事人姓名,DSRXM,字符型（string）,c..50
9,案(事)件要素,JJ_WFJL,ZSXZQH,住所行政区划,VARCHAR2,10,DE00070,行政区划代码,XZQHDM,字符型（string）,c6
10,案(事)件要素,JJ_WFJL,ZSXXDZ,住所详细地址,VARCHAR2,128,DE00075,地址名称,DZMC,字符型（string）,c..100
11,案(事)件要素,JJ_WFJL,DH,电话,VARCHAR2,50,DE00214,固定电话,GDDH,字符型（string）,c..18
12,案(事)件要素,JJ_WFJL,LXFS,联系方式,VARCHAR2,128,DE00216,联系电话,LXDH,字符型（string）,c..18
13,案(事)件要素,JJ_WFJL,CLFL,车辆分类,VARCHAR2,1,,,,,
14,案(事)件要素,JJ_WFJL,HPZL,号牌种类,VARCHAR2,2,DE00306,机动车号牌种类代码,JDCHPZLDM,字符型（string）,c2
15,案(事)件要素,JJ_WFJL,HPHM,号牌号码,VARCHAR2,15,,,,,
16,案(事)件要素,JJ_WFJL,JDCSYR,机动车所有人,VARCHAR2,128,DE00002,机动车所有人姓名,JDCSYRXM,字符型（string）,c..50
17,案(事)件要素,JJ_WFJL,WFSJ,违法时间,DATE,,DE00102,违法时间,WFSJ,日期时间型（datetime）,t6（hhmmss）
